service,query,post_date_text,content,contact_info,post_link,profile_link,date_scraped
Ecommerce Solutions,need ecommerce website development partner,Past month,"In today’s fast-moving digital economy, choosing the right partner for your ecommerce website development Dubai project can make all the difference. Whether you’re launching a new online store or revamping an existing one, you need a team that understands your vision, your audience, and the unique demands of the UAE market. That’s where Al Murooj Solutions comes in as a top-tier ecommerce development company in Dubai. Read the article to Know more about Al Murooj Solutions Visit: https://lnkd.in/grAEmxJa",https://lnkd.in/grAEmxJa,https://www.linkedin.com/feed/update/7381938484426625024,,2025-11-06 18:46:10
Ecommerce Solutions,need ecommerce website development partner,Filter by Past month,"Job Title: Senior Shopify Developer About Us Bombay Blokes Digital Solutions is a founder-led digital marketing and web development agency built on innovation, accountability, and measurable growth. We partner with brands across industries to create powerful digital experiences through performance-driven design, technology, and strategy. Role Overview We are looking for a Senior Shopify Developer with 2-3 years of hands-on experience in theme customization, frontend development, and custom feature building. The ideal candidate should be comfortable working on Liquid, JavaScript, and Shopify APIs, capable of developing high-quality, scalable, and optimized eCommerce websites. Key Responsibilities: 1. Develop, customize, and maintain Shopify websites using Liquid, HTML, CSS, and JavaScript. 2. Create and modify custom Shopify themes, sections, and templates as per client needs. 3.  Implement custom functionalities and integrations using Shopify APIs. 4. Collaborate with designers to translate UI/UX into clean, functional front-end code. 5. Optimize websites for speed, SEO, and performance. 6. Manage app integrations, troubleshoot issues, and ensure seamless functionality. 7. Handle store migrations, backups, and version updates with care. Required Skills & Experience: - 2–3 years of experience working on Shopify development (agency or project-based experience preferred). - Proficient in Liquid, JavaScript/jQuery, HTML, and CSS. - Experience with Shopify API, metafields, and theme architecture. - Strong understanding of responsive design and cross-browser compatibility. - Familiarity with Shopify apps and custom app configurations. - Knowledge of basic SEO principles, website performance, and frontend optimization. - Comfortable collaborating with design, content, and backend teams. - Strong problem-solving and debugging skills. Bonus Points For - Experience with Headless Shopify setups (React, Next.js, Hydrogen). - Familiarity with Git and version control workflows. - Understanding of payment gateway integrations and eCommerce data flow. - Exposure to analytics tracking and conversion optimization. Joining Date: Immediate Joiner Send us your best work/CV to shweta@bombayblokes.com",shweta@bombayblokes.com,https://www.linkedin.com/feed/update/7384499787997380608,https://www.linkedin.comhttps://www.linkedin.com/in/shweta-mishra-1a27911a5,2025-11-06 18:46:10
Ecommerce Solutions,require ecommerce solution provider for business,Filter by Past 24 hours,"🛍️ A great eCommerce website doesn’t just sell — it converts, engages, and scales. Building a successful eCommerce website goes beyond great products — it’s about crafting seamless experiences from browsing to checkout. In our latest AIERAC blog, we break down the 15 key features your eCommerce site must have — from speed and security to design, trust, and scalability.",,https://www.linkedin.com/feed/update/7392108756223987712,https://www.linkedin.comhttps://www.linkedin.com/in/charu-chanchal-aierac-inc-founder-ceo-florida-us-company,2025-11-06 18:47:13
Ecommerce Solutions,require ecommerce solution provider for business,Past month,"If your online store feels stuck or growth has slowed, this article is for you. It explains how hiring the right eCommerce developers can help you scale faster, reduce costs, and stay competitive — all in simple, actionable terms.",,https://www.linkedin.com/feed/update/7387431152585887744,https://www.linkedin.comhttps://www.linkedin.com/in/ajay-kapoor-966b1533a,2025-11-06 18:47:17
Ecommerce Solutions,require ecommerce solution provider for business,Filter by Past month,"Tried and tested: Harmonising web design and AI automation can make the most of your eCommerce. Here's a quick snapshot from a recent case with a retail client at Luminary Solutions: 1️⃣ We kick-started with a unified web design plan. No inconsistencies. Every user touchpoint was carefully sketched from the home page to the product catalogues, all consistent with the brand ethos. 2️⃣ We wove in our AI mastery. Sorting, searching, and selecting products was automated based on the customer's browsing history. A personalized website view for every visitor, leading to higher conversion rates. 3️⃣ The final show-stopper was a post-purchase follow-up system. AI automation to track customers, their purchases and triggers personalized emails. End Result? A 57% spurt in conversion already in the first quarter. Because when design meets AI, magic happens. Step up and let's add some Luminary magic to your eCommerce!",,https://www.linkedin.com/feed/update/7387715434436874240,,2025-11-06 18:47:17
Ecommerce Solutions,organization seeking B2B ecommerce platform developer,Filter by Past 24 hours,"🚀 Sharing something that many in the Optimizely community often overlook. Optimizely B2B Commerce APIs can securely connect with external systems like ERPs, CRMs, and middleware — yet this powerful capability isn’t widely known. In my latest article, I’ve shared the simple setup steps and best practices to unlock seamless integrations and real-time data flow. Give it a read, you might just discover what your platform has been capable of all along 💡 hashtag # Optimizely hashtag # B2BCommerce hashtag # Integration hashtag # APIs hashtag # DigitalTransformation",,https://www.linkedin.com/feed/update/7391880553865687040,https://www.linkedin.comhttps://www.linkedin.com/in/uddhav-gurav-6a4648125,2025-11-06 18:48:25
Ecommerce Solutions,organization seeking B2B ecommerce platform developer,Past month,"أصدقائي وزملائي أنا محتاجة Support وهكون ممتنة للشير والكومنتات والrecommendations وهبعتلكم CV برايفت :)) ❤️ أنا ممكن أ-join أي شركة سوفت وير أو software house بشكل immedaitely أنا Certified Product Owner and Business Analyst واخدة PSPO1 وخريجة ITI تراك Business Analysis وخبرة سنتين في market السعودية (ريموتلي) اشتغلت على 5 products ومشروعين منهم PM وFintech وعندي خلفية كويسة في programming وطبعا خلفية قوية في الAgile خصوصًا الScrum الskills بتاعتي كالآتي • BPMN, UML diagrams, Draw .io, MS Visio • BRD, SRS, User Stories, Backlog Prioritization, Sprint Planning and all Agile Ceremonies • Prompt Engineering to ChatGPT, Visily AI, V0. dev AI, loveable • Azure DevOps, Jira, Trello, Figma • MS Office and Google workspace (docs, google sheets, google slides, drive, calendar and google meet) • Python, MS Access, MySQL, HTML, CSS, JavaScript شكرا لدعمكم حقيقي ومنشنوا الHR الي تعرفوهم أو الشركات الي طالبة BA/POفي اسكندرية أو ريموتلي :)) ❤️",,https://www.linkedin.com/feed/update/7390873131709706240,https://www.linkedin.comhttps://www.linkedin.com/in/parikshit-jha-2690b731a,2025-11-06 18:48:25
Ecommerce Solutions,organization seeking B2B ecommerce platform developer,Filter by Past month,Why is it always Shopify or Wordpress behind most online stores you visit. Heres why:,,https://www.linkedin.com/feed/update/7392078243270643712,https://www.linkedin.comhttps://www.linkedin.com/in/kamal-verma-9616232a5,2025-11-06 18:48:25
Ecommerce Solutions,looking to outsource ecommerce project to an agency,Past month,"We’re a Canada-based digital agency and we’re currently looking to partner with experienced WordPress developers for multiple upcoming projects. Over the past few months, we’ve had a steady flow of client work — everything from small business sites to full eCommerce builds — and now we’re looking to outsource development to reliable freelancers or small teams who can grow with us. send me a DM with your portfolio or sample work. Let’s build something great together",,https://www.linkedin.com/feed/update/7389726549266051072,,2025-11-06 18:49:35
Ecommerce Solutions,RFP for ecommerce website company,Past month,"👉 Silver Star Communications is seeking a qualified technology partner to help us deliver the next generation of our online customer experience. We’re building an embedded e-commerce and service management platform inside our existing website. We’re inviting proposals from firms experienced in Salesforce and API-driven integrations, Telecom or ISP customer platforms, WordPress or React-based web experiences, Scheduling, and customer authentication systems. Interested in receiving the full RFP? Email rfp@silverstar.net with your company name, website, and a short summary of relevant experience. Proposal window closes: October 27th, 2025 Let’s build something exceptional together. hashtag # RFP hashtag # Salesforce hashtag # Telecom hashtag # Ecommerce hashtag # WordPress hashtag # React hashtag # Integration hashtag # DigitalTransformation hashtag # ISP hashtag # Broadband hashtag # SoftwareDevelopment hashtag # CustomerExperience hashtag # SilverStarCommunications",rfp@silverstar.net,https://www.linkedin.com/feed/update/7381347278558707713,,2025-11-06 18:50:40
